"Seq","Status","TS Status","Account No.","Name","Assign. No.","Amount*","Reference","Date","Cust PO","Terms","Approval","Disc%","Freight*","Balance*","Due Date","Discount*","Type","Other*","Division","Aging","Past Due Status","Due Days","Charge Back No.","Salesperson","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Factor","Assign. Date","Reason","Description","Collection","Ship-To","Cust ChgBack No.","Remarks","Trail","Manifest","Rank","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"295","Open","Shipped","ST0001","STAGE STORES INC","000091","156.00","100940","11/07/2013","20024496","NET 45","591202","  .00%",".00","156.00","12/22/2013",".00","Invoice",".00","PB","17","1 to 30"," 45","","AF","10/13","","","","","","W","11/11/2013","","","No collection Info","000707","","","100940","G262","","11/07/13","VENDOR PORTAL","    48","     4"," 150904","156.00","    .00",".00","","466578","","TX","","",
"296","Open","Shipped","ST0001","STAGE STORES INC","000091","984.00","100942","11/07/2013","20024498","NET 45","591202","  .00%",".00","984.00","12/22/2013",".00","Invoice",".00","PB","17","1 to 30"," 45","","AF","10/13","","","","","","W","11/11/2013","","","No collection Info","000707","","LINE 0007E8 VOIDED.  (STYLE 1360D00)","100942","G262","","11/07/13","VENDOR PORTAL","   246","    25","150904","984.00","    .00",".00","","","Voided Line 0007E8 Voided Line 0007E0","TX","","",
"297","Open","Shipped","SW0001","SW RETAIL","000013","248.32","100070","08/29/2013","BT813","NET 30","327640","  .00%","56.32","248.32","09/28/2013",".00","Invoice",".00","PB","102","91 to 120"," 30","","EE","08/13","","","","","","W","08/29/2013","","","No collection Info","001705","","","100070","G-082913","","08/29/13","","    48","     4","BT813","248.32","  56.32",".00","","","","NY","","",
"298","Open","Shipped","SW0001","SW RETAIL","000013","145.72","100071","08/29/2013","BT813","NET 30","327640","  .00%","49.72","145.72","09/28/2013",".00","Invoice",".00","PB","102","91 to 120"," 30","","EE","08/13","","","","","","W","08/29/2013","","","No collection Info","001706","","","100071","G-082913","","08/29/13","","    24","     4","BT813","145.72","  49.72",".00","","","","NY","","",
"299","Open","Shipped","SW0001","SW RETAIL","000013","145.72","100077","08/29/2013","BT813","NET 30","327640","  .00%","49.72","145.72","09/28/2013",".00","Invoice",".00","PB","102","91 to 120"," 30","","EE","08/13","","","","","","W","08/29/2013","","","No collection Info","001712","","","100077","G-082913","","08/29/13","","    24","     4","BT813","145.72","  49.72",".00","","","","GA","","",
"300","Open","Shipped","SW0001","SW RETAIL","000013","145.72","100080","08/29/2013","BT813","NET 30","327640","  .00%","49.72","145.72","09/28/2013",".00","Invoice",".00","PB","102","91 to 120"," 30","","EE","08/13","","","","","","W","08/29/2013","","","No collection Info","001715","","","100080","G-082913","","08/29/13","","    24","     4","","145.72","  49.72",".00","","","","OH","","",
"301","Open","Shipped","SW0001","SW RETAIL","000014","145.72","100083","08/29/2013","BT813","NET 30","327640","  .00%","49.72","145.72","09/28/2013",".00","Invoice",".00","PB","102","91 to 120"," 30","","EE","08/13","","","","","","W","08/29/2013","","","No collection Info","001718","","","100083","G-082913","","08/29/13","","    24","     4","130737","145.72","  49.72",".00","","","","GA","","",
"302","Open","Shipped","SW0001","SW RETAIL","000014","145.72","100087","08/29/2013","BT813","NET 30","327640","  .00%","49.72","145.72","09/28/2013",".00","Invoice",".00","PB","102","91 to 120"," 30","","EE","08/13","","","","","","W","08/29/2013","","","No collection Info","001722","","","100087","G-082913","","08/29/13","","    24","     4","","145.72","  49.72",".00","","","","OH","","",
"303","Open","Shipped","SW0001","SW RETAIL","000014","145.72","100088","08/29/2013","BT813","NET 30","327640","  .00%","49.72","145.72","09/28/2013",".00","Invoice",".00","PB","102","91 to 120"," 30","","EE","08/13","","","","","","W","08/29/2013","","","No collection Info","001723","","","100088","G-082913","","08/29/13","","    24","     4","","145.72","  49.72",".00","","","","OH","","",
"304","Open","Shipped","SW0001","SW RETAIL","000088","144.48","100066","09/05/2013","BT813","NET 30","327640","  .00%","48.48","144.48","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","EE","08/13","","","","","","W","11/04/2013","","","No collection Info","001701","","","100066","G-090513","","09/05/13","UPSN-UNITED PAR","    24","     4","","144.48","  48.48",".00","","","","NJ","","",
"305","Open","Shipped","SW0001","SW RETAIL","000021","245.40","100067","09/05/2013","BT813","NET 30","327640","  .00%","53.40","245.40","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","EE","08/13","","","","","","W","09/05/2013","","","No collection Info","001702","","","100067","G-090513","","09/05/13","UPSN-UNITED PAR","    48","     4","","245.40","  53.40",".00","","","","NJ","","",
"306","Open","Shipped","SW0001","SW RETAIL","000021","142.36","100068","09/05/2013","BT813","NET 30","327640","  .00%","46.36","142.36","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","EE","08/13","","","","","","W","09/05/2013","","","No collection Info","001703","","","100068","G-090513","","09/05/13","UPSN-UNITED PAR","    24","     4","","142.36","  46.36",".00","","","","NJ","","",
"307","Open","Shipped","SW0001","SW RETAIL","000087","192.00","100104","09/05/2013","BT813","NET 30","327640","  .00%",".00","192.00","10/05/2013",".00","Invoice",".00","PB","95","91 to 120"," 30","","EE","08/13","","","","","","W","11/04/2013","","","No collection Info","001700","","","100104","G-090513","","09/05/13","UPSN-UNITED PAR","    48","     4","","192.00","    .00",".00","","","","NJ","","",
"308","Open","Shipped","TJ0001","TJ MAXX","000055","5,700.00","100674","10/04/2013","60850635","NET 60","280699","  .00%",".00","5,700.00","12/03/2013",".00","Invoice",".00","PB","36","31 to 60"," 60","","AF","08/13","","","","","","W","10/08/2013","","","No collection Info","TJ0896","","","100674","G110","","10/04/13","CALL TO ROUTE","   912","   152","142704","5,700.00","    .00",".00","","","","MA","","",
"309","Open","Shipped","TJ0001","TJ MAXX","000055","4,182.00","100675","10/04/2013","70850635","NET 60","280699","  .00%",".00","4,182.00","12/03/2013",".00","Invoice",".00","PB","36","31 to 60"," 60","","AF","08/13","","","","","","W","10/08/2013","","","No collection Info","TJ0897","","","100675","G107","","10/04/13","CALL TO ROUTE","   696","   116","142705","4,182.00","    .00",".00","","","","IN","","",
"310","Open","Shipped","TJ0001","TJ MAXX","000075","724.50","100720","10/22/2013","40850635","NET 60","280699","  .00%",".00","724.50","12/21/2013",".00","Invoice",".00","PB","18","1 to 30"," 60","","AF","10/13","","","","","","W","10/25/2013","","","No collection Info","TJ0894","","","100720","G197","","10/22/13","CALL TO ROUTE","   126","    21","147047","724.50","    .00",".00","","","","NC","","",
"311","Open","Shipped","TJ0001","TJ MAXX","000075","1,276.50","100722","10/22/2013","80850635","NET 60","280699","  .00%",".00","1,276.50","12/21/2013",".00","Invoice",".00","PB","18","1 to 30"," 60","","AF","10/13","","","","","","W","10/25/2013","","","No collection Info","TJ0898","","","100722","G199","","10/22/13","CALL TO ROUTE","   222","    37","147049","1,276.50","    .00",".00","","","","NV","","",
"312","Open","Shipped","TJ0001","TJ MAXX","000103","4,657.50","101078","11/20/2013","30 919798","NET 60","654420","  .00%",".00","4,657.50","01/20/2014",".00","Invoice",".00","PB","","Current"," 60","","AF","11/13","","","","","","W","11/22/2013","","","No collection Info","TJ0899","","","101078","G279","","11/20/13","CALL TO ROUTE","  1242","   164","155764","4,657.50","    .00",".00","","","","PA","","",
"313","Open","Shipped","TK0001","TK MAXX","000039","11,058.75","100184","09/16/2013","50838898","NET 60","342839","  .00%",".00","11,058.75","11/15/2013",".00","Invoice",".00","PB","54","31 to 60"," 60","","AF","08/13","","","","","","W","09/16/2013","","","No collection Info","TK0001","","","100184","G51","","09/16/13","","   983","    91","","11,058.75","    .00",".00","","","","","","",
"314","Open","Shipped","TK0001","TK MAXX","000103","5,106.00","101088","11/20/2013","50 155959","ROG + 60","654541","  .00%",".00","5,106.00","01/25/2014",".00","Invoice",".00","PB","","Current"," 65","","AF","11/13","","","","","","W","11/22/2013","","","No collection Info","TK0001","","","101088","G278","","11/20/13","CALL TO ROUTE","  1728","   166","156237","5,106.00","    .00",".00","","","","","","",
"315","Open","Shipped","TK0001","TK MAXX","000103","15,087.00","101091","11/20/2013","50 156593","ROG + 60","654541","  .00%",".00","15,087.00","01/25/2014",".00","Invoice",".00","PB","","Current"," 65","","AF","11/13","","","","","","W","11/22/2013","","","No collection Info","TK0001","","","101091","G278","","11/20/13","CALL TO ROUTE","  2916","   243","155983","15,087.00","    .00",".00","","","","","","",
"316","Open","Shipped","TK0001","TK MAXX","000103","1,296.00","101092","11/20/2013","55 155960","ROG + 60","654541","  .00%",".00","1,296.00","01/25/2014",".00","Invoice",".00","PB","","Current"," 65","","AF","11/13","","","","","","W","11/22/2013","","","No collection Info","TK0001","","","101092","G278","","11/20/13","CALL TO ROUTE","   384","    32","155982","1,296.00","    .00",".00","","","","","","",
"317","Open","Shipped","TK0001","TK MAXX","000103","3,720.00","101095","11/20/2013","55 156594","ROG + 60","654541","  .00%",".00","3,720.00","01/25/2014",".00","Invoice",".00","PB","","Current"," 65","","AF","11/13","","","","","","W","11/22/2013","","","No collection Info","TK0001","","","101095","G278","","11/20/13","CALL TO ROUTE","   720","    60","","3,720.00","    .00",".00","","156456","","","","",
"318","Open","Shipped","TK0001","TK MAXX","000104","2,820.00","101089","11/22/2013","50 155966","ROG + 60","654541","  .00%",".00","2,820.00","01/27/2014",".00","Invoice",".00","PB","","Current"," 65","","AF","11/13","","","","","","W","12/02/2013","","","No collection Info","TK0001","","","101089","G283","","11/22/13","CALL TO ROUTE","  1410","   157","156454","2,820.00","    .00",".00","","","","","","",
"319","Open","Shipped","TK0001","TK MAXX","000104","1,824.00","101090","11/22/2013","50 155968","ROG + 60","654541","  .00%",".00","1,824.00","01/27/2014",".00","Invoice",".00","PB","","Current"," 65","","AF","11/13","","","","","","W","12/02/2013","","","No collection Info","TK0001","","","101090","G283","","11/22/13","CALL TO ROUTE","   912","   152","156460","1,824.00","    .00",".00","","","","","","",
"320","Open","Shipped","TK0001","TK MAXX","000104","1,458.00","101093","11/22/2013","55 155967","ROG + 60","654541","  .00%",".00","1,458.00","01/27/2014",".00","Invoice",".00","PB","","Current"," 65","","AF","11/13","","","","","","W","12/02/2013","","","No collection Info","TK0001","","","101093","G283","","11/22/13","CALL TO ROUTE","   729","    74","156453","1,458.00","    .00",".00","","","","","","",
"321","Open","Shipped","TK0001","TK MAXX","000104","1,020.00","101094","11/22/2013","55 155969","ROG + 60","654541","  .00%",".00","1,020.00","01/27/2014",".00","Invoice",".00","PB","","Current"," 65","","AF","11/13","","","","","","W","12/02/2013","","","No collection Info","TK0001","","","101094","G283","","11/22/13","CALL TO ROUTE","   510","    85","156239","1,020.00","    .00",".00","","","","","","",
"322","Open","Shipped","TO0002","TOMLINSONS","000109","98.89","100695","11/07/2013","71613","NET 30","220734","  .00%","14.89","98.89","12/07/2013",".00","Invoice",".00","PB","32","31 to 60"," 30","","EE","08/13","","","","","","W","12/03/2013","","","No collection Info","TO0002","","","100695","G258","","11/07/13","FEDEX GROUND","    12","     1","","98.89","  14.89",".00","","557841389707","","NC","","",
"323","Open","Shipped","TO0002","TOMLINSONS","000109","427.24","100696","11/07/2013","80513","NET 30","280727","  .00%","25.24","427.24","12/07/2013",".00","Invoice",".00","PB","32","31 to 60"," 30","","EE","08/13","","","","","","W","12/03/2013","","","No collection Info","TO0002","","","100696","G258","","11/07/13","FEDEX GROUND","    36","     3","","427.24","  25.24",".00","","557841389670","","NC","","",
"324","Open","Shipped","TO0002","TOMLINSONS","000109","225.00","100697","11/07/2013","9913","NET 30","481880","  .00%",".00","225.00","12/07/2013",".00","Invoice",".00","PB","32","31 to 60"," 30","","EE","08/13","","","","","","W","12/03/2013","","","No collection Info","TO0002","","","100697","G258","","11/07/13","UPS","    36","     6","","225.00","    .00",".00","","557841389534","","NC","","",
"325","Open","Shipped","TO0002","TOMLINSONS","000109","336.00","100698","11/07/2013","L913F","NET 30","481879","  .00%",".00","336.00","12/07/2013",".00","Invoice",".00","PB","32","31 to 60"," 30","","EE","08/13","","","","","","W","12/03/2013","","","No collection Info","TO0002","","","100698","G258","","11/07/13","UPS","    48","     8","","336.00","    .00",".00","","","","NC","","",
"326","Open","Shipped","UA0001","ULTIMATE APPAREL","000089","1,344.00","100752","11/04/2013","10313A GRP#3360B00","NET 60","533500","  .00%",".00","1,344.00","01/04/2014",".00","Invoice",".00","PB","4","1 to 30"," 60","","AF","10/13","","","","","","W","11/11/2013","","","No collection Info","UA0001","","","100752","G245","","11/04/13","CALL TO ROUTE","   336","    28","148581","1,344.00","    .00",".00","","","","CA","","",
"327","Open","Shipped","UA0001","ULTIMATE APPAREL","000089","1,728.00","100753","11/04/2013","10313B GRP#3086323","NET 60","533504","  .00%",".00","1,728.00","01/04/2014",".00","Invoice",".00","PB","4","1 to 30"," 60","","AF","10/13","","","","","","W","11/11/2013","","","No collection Info","UA0001","","","100753","G245","","11/04/13","CALL TO ROUTE","   432","    36","148581","1,728.00","    .00",".00","","","","CA","","",
"328","Open","Shipped","US0001","US MARINE CORPS","000079","295.20","100839","10/14/2013","1129","NET 30","OK MT","  .00%","36.00","295.20","11/13/2013",".00","Invoice",".00","PB","56","31 to 60"," 30","","JB","10/13","","","","","","W","11/04/2013","","","No collection Info","001408","","$12/CTN","100839","G235","","10/13/13","CALL TO ROUTE","    36","     3","","295.20","  36.00",".00","","557841387406","","NC","","",
"329","Open","Shipped","US0001","US MARINE CORPS","000109","319.20","100766","10/25/2013","999241","NET 30","503641","  .00%","60.00","319.20","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 30","","AF","10/13","","","","","","W","12/03/2013","","","No collection Info","001398","","AS PER ELI, USE $12/CTN","100766","G233","","10/25/13","FEDEX GROUND","    36","     6","","319.20","  60.00",".00","","","","CA","","",
"330","Open","Shipped","US0001","US MARINE CORPS","000082","90.00","100767","10/25/2013","999243","NET 30","503641","  .00%",".00","90.00","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001398","","","100767","G232","","10/25/13","CALL TO ROUTE","    12","     2","","90.00","    .00",".00","","557841386643","","CA","","",
"331","Open","Shipped","US0001","US MARINE CORPS","000109","232.80","100768","10/25/2013","999244","NET 30","503641","  .00%","48.00","232.80","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 30","","AF","10/13","","","","","","W","12/03/2013","","","No collection Info","001400","","AS PER ELI, USE $12/CTN","100768","G233","","10/25/13","FEDEX GROUND","    24","     4","","232.80","  48.00",".00","","","","CA","","",
"332","Open","Shipped","US0001","US MARINE CORPS","000109","165.60","100769","10/25/2013","999241","NET 30","503641","  .00%","36.00","165.60","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 30","","AF","10/13","","","","","","W","12/03/2013","","","No collection Info","001401","","AS PER ELI, USE $12/CTN","100769","G233","","10/25/13","FEDEX GROUND","    18","     3","","165.60","  36.00",".00","","","","CA","","",
"333","Open","Shipped","US0001","US MARINE CORPS","000109","232.80","100770","10/25/2013","999244","NET 30","503641","  .00%","48.00","232.80","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 30","","AF","10/13","","","","","","W","12/03/2013","","","No collection Info","001407","","AS PER ELI, USE $12/CTN.","100770","G233","","10/25/13","FEDEX GROUND","    24","     4","","232.80","  48.00",".00","","","","VA","","",
"334","Open","Shipped","US0001","US MARINE CORPS","000109","319.20","100771","10/25/2013","999241","NET 30","503641","  .00%","60.00","319.20","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 30","","AF","10/13","","","","","","W","12/03/2013","","","No collection Info","001409","","AS PER ELI, USE $12/CTN.","100771","G233","","10/25/13","FEDEX GROUND","    36","     6","","319.20","  60.00",".00","","","","NC","","",
"335","Open","Shipped","US0001","US MARINE CORPS","000109","216.00","100772","10/25/2013","999243","NET 30","503641","  .00%","36.00","216.00","11/24/2013",".00","Invoice",".00","PB","45","31 to 60"," 30","","AF","10/13","","","","","","W","12/03/2013","","","No collection Info","001409","","AS PER ELI, USE $12/CTN","100772","G233","","10/25/13","FEDEX GROUND","    24","     4","","216.00","  36.00",".00","","","","NC","","",
"336","Open","Shipped","US0001","US MARINE CORPS","000079","295.20","100827","10/30/2013","1129","NET 30","OK MT","  .00%","36.00","295.20","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","JB","10/13","","","","","","W","11/04/2013","","","No collection Info","001398","","$12/CTN.","100827","G235","","10/30/13","CALL TO ROUTE","    36","     3","","295.20","  36.00",".00","","557841386903","","CA","","",
"337","Open","Shipped","US0001","US MARINE CORPS","000079","616.80","100828","10/30/2013","1247","NET 30","OK MT","  .00%","84.00","616.80","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001399","","$12/CTN.","100828","G235","","10/30/13","CALL TO ROUTE","    72","     6","","616.80","  84.00",".00","","557841386936","","CA","","",
"338","Open","Shipped","US0001","US MARINE CORPS","000079","295.20","100829","10/30/2013","1129","NET 30","OK MT","  .00%","36.00","295.20","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","JB","10/13","","","","","","W","11/04/2013","","","No collection Info","001401","","#12/CTN","100829","G235","","10/30/13","CALL TO ROUTE","    36","     3","","295.20","  36.00",".00","","557841387005","","CA","","",
"339","Open","Shipped","US0001","US MARINE CORPS","000079","336.00","100830","10/30/2013","1247","NET 30","OK MT","  .00%","48.00","336.00","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001401","","$12/CTN","100830","G235","","10/30/13","CALL TO ROUTE","    48","     4","","336.00","  48.00",".00","","557841387038","","CA","","",
"340","Open","Shipped","US0001","US MARINE CORPS","000079","295.20","100831","10/30/2013","1129","NET 30","OK MT","  .00%","36.00","295.20","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","JB","10/13","","","","","","W","11/04/2013","","","No collection Info","001402","","$12/CTN","100831","G235","","10/30/13","CALL TO ROUTE","    36","     3","","295.20","  36.00",".00","","557841387071","","CA","","",
"341","Open","Shipped","US0001","US MARINE CORPS","000079","616.80","100832","10/30/2013","1247","NET 30","OK MT","  .00%","84.00","616.80","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","JB","10/13","","","","","","W","11/04/2013","","","No collection Info","001402","","$12/CTN","100832","G235","","10/30/13","CALL TO ROUTE","    72","     6","","616.80","  84.00",".00","","557841387108","","CA","","",
"342","Open","Shipped","US0001","US MARINE CORPS","000079","616.80","100833","10/30/2013","1247","NET 30","OK MT","  .00%","84.00","616.80","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001404","","$12/CTN","100833","G235","","10/30/13","CALL TO ROUTE","    72","     6","","616.80","  84.00",".00","","557841387174","","","","",
"343","Open","Shipped","US0001","US MARINE CORPS","000079","338.40","100836","10/30/2013","1247","NET 30","OK MT","  .00%","72.00","338.40","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","JB","10/13","","","","","","W","11/04/2013","","","No collection Info","001406","","$12/CTN.","100836","G235","","10/30/13","CALL TO ROUTE","    36","     6","","338.40","  72.00",".00","","","","SC","","",
"344","Open","Shipped","US0001","US MARINE CORPS","000079","295.20","100837","10/30/2013","1129","NET 30","OK MT","  .00%","36.00","295.20","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001407","","$12/CTN","100837","G235","","10/30/13","CALL TO ROUTE","    36","     3","","295.20","  36.00",".00","","","","VA","","",
"345","Open","Shipped","US0001","US MARINE CORPS","000079","616.80","100838","10/30/2013","1247","NET 30","405448","  .00%","84.00","616.80","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001407","","$12/CTN","100838","G235","","10/30/13","CALL TO ROUTE","    72","     6","","616.80","  84.00",".00","","557841387336","","VA","","",
"346","Open","Shipped","US0001","US MARINE CORPS","000079","338.40","100840","10/30/2013","1247","NET 30","OK MT","  .00%","72.00","338.40","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001408","","$12/CTN","100840","G235","","10/30/13","CALL TO ROUTE","    36","     6","","338.40","  72.00",".00","","557841387439","","NC","","",
"347","Open","Shipped","US0001","US MARINE CORPS","000079","295.20","100841","10/30/2013","1129","NET 30","OK MT","  .00%","36.00","295.20","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","JB","10/13","","","","","","W","11/04/2013","","","No collection Info","001409","","$12/CTN","100841","G235","","10/30/13","CALL TO ROUTE","    36","     3","","295.20","  36.00",".00","","557841387494","","NC","","",
"348","Open","Shipped","US0001","US MARINE CORPS","000079","168.00","100842","10/30/2013","1247","NET 30","OK MT","  .00%","24.00","168.00","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001411","","$12/CTN","100842","G235","","10/30/13","CALL TO ROUTE","    24","     4","","168.00","  24.00",".00","","557841387510","","CA","","",
"349","Open","Shipped","US0001","US MARINE CORPS","000079","167.79","100908","10/30/2013","1128","NET 30","503639","  .00%","38.19","167.79","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","AF","10/13","","","","","","W","11/04/2013","","","No collection Info","001404","","","100908","G235","","10/30/13","FEDEX GROUND","    18","     3","","167.79","  38.19",".00","","557841387564","","","","",
"350","Open","Shipped","US0001","US MARINE CORPS","000079","169.68","100910","10/30/2013","1129","NET 30","503639","  .00%","40.08","169.68","11/29/2013",".00","Invoice",".00","PB","40","31 to 60"," 30","","JB","10/13","","","","","","W","11/04/2013","","","No collection Info","001406","","","100910","G235","","10/30/13","FEDEX GROUND","    18","     3","","169.68","  40.08",".00","","557841387597","","SC","","",
"351","Open","Shipped","US0001","US MARINE CORPS","000109","532.80","100834","11/01/2013","1242","NET 30","OK MT","  .00%",".00","532.80","12/01/2013",".00","Invoice",".00","PB","38","31 to 60"," 30","","JB","10/13","","","","","","W","12/03/2013","","","No collection Info","001405","","","100834","G235","","10/30/13","CALL TO ROUTE","    72","     6","","532.80","    .00",".00","","","","","","",
"352","Open","Shipped","US0001","US MARINE CORPS","000109","552.00","100835","11/01/2013","1255","NET 30","390731","  .00%",".00","552.00","12/01/2013",".00","Invoice",".00","PB","38","31 to 60"," 30","","AF","10/13","","","","","","W","12/03/2013","","","No collection Info","001405","","","100835","G235","","10/31/13","CALL TO ROUTE","    72","     6","","552.00","    .00",".00","","","","VA","","",
"353","Open","Shipped","US0001","US MARINE CORPS","000109","167.79","100909","11/01/2013","1123","NET 30","503636","  .00%","38.19","167.79","12/01/2013",".00","Invoice",".00","PB","38","31 to 60"," 30","","AF","10/13","","","","","","W","12/03/2013","","","No collection Info","001405","","","100909","G235","","10/31/13","FEDEX GROUND","    18","     3","","167.79","  38.19",".00","","","","VA","","",
"354","Open","Shipped","US0001","US MARINE CORPS","000106","445.00","101011","11/04/2013","1196","NET 30","591974","  .00%","13.00","445.00","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","10/13","","","","","","W","12/02/2013","","","No collection Info","001399","","AS PER FREIGHT CALCULATOR","101011","G255","","11/04/13","CALL TO ROUTE","    72","     8","","445.00","  13.00",".00","","557841387760","","AZ","","",
"355","Open","Shipped","US0001","US MARINE CORPS","000106","466.60","101012","11/04/2013","1200","NET 30","591974","  .00%","13.00","466.60","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","10/13","","","","","","W","12/02/2013","","","No collection Info","001399","","AS PER FREIGHT CALCULATOR","101012","G255","","11/04/13","CALL TO ROUTE","    72","     8","","466.60","  13.00",".00","","557841387840","","CA","","",
"356","Open","Shipped","US0001","US MARINE CORPS","000106","565.53","101013","11/04/2013","1256","NET 30","591974","  .00%","13.53","565.53","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","10/13","","","","","","W","12/02/2013","","","No collection Info","001399","","AS PER FREIGHT CALCULATOR","101013","G255","","11/04/13","CALL TO ROUTE","    72","     6","","565.53","  13.53",".00","","","","CA","","",
"357","Open","Shipped","US0001","US MARINE CORPS","000106","321.72","101014","11/04/2013","1277","NET 30","591974","  .00%","9.72","321.72","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","10/13","","","","","","W","12/02/2013","","","No collection Info","001399","","AS PER FREIGHT CALCULATOR","101014","G255","","11/04/13","CALL TO ROUTE","    24","     2","","321.72","   9.72",".00","","557841387932","","CA","","",
"358","Open","Shipped","US0001","US MARINE CORPS","000106","446.28","101015","11/04/2013","1196","NET 30","591974","  .00%","14.28","446.28","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","10/13","","","","","","W","12/02/2013","","","No collection Info","001401","","AS PER FREIGHT CALCULATOR","101015","G255","","11/04/13","CALL TO ROUTE","    72","    12","","446.28","  14.28",".00","","557841387943","","NC","","",
"359","Open","Shipped","US0001","US MARINE CORPS","000106","565.53","101017","11/04/2013","1256","NET 30","591974","  .00%","13.53","565.53","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","10/13","","","","","","W","12/02/2013","","","No collection Info","001401","","AS PER FREIGHT CALCULATOR","101017","G255","","11/04/13","CALL TO ROUTE","    72","     6","","565.53","  13.53",".00","","","","CA","","",
"360","Open","Shipped","US0001","US MARINE CORPS","000106","321.72","101018","11/04/2013","1277","NET 30","591974","  .00%","9.72","321.72","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","10/13","","","","","","W","12/02/2013","","","No collection Info","001401","","AS PER FREIGHT CALCULATOR","101018","G255","","11/04/13","CALL TO ROUTE","    24","     2","","321.72","   9.72",".00","","557841388067","","CA","","",
"361","Open","Shipped","US0001","US MARINE CORPS","000106","299.58","101019","11/04/2013","1196","NET 30","591974","  .00%","11.58","299.58","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","10/13","","","","","","W","12/02/2013","","","No collection Info","001402","","AS PER FREIGHT CALCULATOR","101019","G255","","11/04/13","CALL TO ROUTE","    48","     4","","299.58","  11.58",".00","","","","CA","","",
"362","Open","Shipped","US0001","US MARINE CORPS","000106","313.98","101020","11/04/2013","1200","NET 30","591974","  .00%","11.58","313.98","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","10/13","","","","","","W","12/02/2013","","","No collection Info","001402","","AS PER FREIGHT CALCULATOR","101020","G255","","11/04/13","CALL TO ROUTE","    48","     4","","313.98","  11.58",".00","","557841388126","","CA","","",
"363","Open","Shipped","US0001","US MARINE CORPS","000107","299.58","101021","11/04/2013","1256","NET 30","591974","  .00%","11.58","299.58","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","10/13","","","","","","W","12/02/2013","","","No collection Info","001402","","AS PER FREIGHT CALCULATOR","101021","G255","","11/04/13","CALL TO ROUTE","    48","     4","","299.58","  11.58",".00","","557841388160","","CA","","",
"364","Open","Shipped","US0001","US MARINE CORPS","000106","165.76","101022","11/04/2013","1200","NET 30","591974","  .00%","14.56","165.76","12/04/2013",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","10/13","","","","","","W","12/02/2013","","","No collection Info","001406","","AS PER FREIGHT CALCULATOR","101022","G255","","11/04/13","CALL TO ROUTE","    24","     4","","165.76","  14.56",".00","","","","SC","","",
